disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12
roseola,rash,irritability,fatigue,sore throat,headache,cough,red eyes,diarrhea,loss of appetite,abdominal pain,body aches,rashes
norovirus infection,stomach cramps,low-grade fever,headache,fatigue,abdominal pain,dehydration,sweating,rashes,general discomfort,fever,,
roseola,rash,fatigue,swollen lymph nodes,headache,cough,diarrhea,abdominal pain,body aches,rashes,feverish,,
norovirus infection,vomiting,stomach cramps,headache,abdominal pain,loss of appetite,dehydration,chills,general discomfort,fever,irritability,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,fatigue,loss of appetite,muscle aches,feverish,,,,,
norovirus infection,diarrhea,vomiting,muscle aches,headache,body aches,irritability,,,,,,
roseola,rash,swollen lymph nodes,headache,diarrhea,loss of appetite,chills,feverish,,,,,
mumps,"swollen, painful salivary glands",muscle aches,tiredness,trouble chewing,testicle pain and tenderness,tiredness,,,,,,
norovirus infection,diarrhea,vomiting,low-grade fever,muscle aches,nausea,fatigue,loss of appetite,dehydration,chills,general discomfort,,
norovirus infection,diarrhea,muscle aches,nausea,headache,abdominal pain,dehydration,chills,sweating,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,stomach cramps,headache,muscle aches,body aches,rashes,chills,,
norovirus infection,stomach cramps,low-grade fever,nausea,abdominal pain,loss of appetite,dehydration,chills,rashes,general discomfort,irritability,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,stomach cramps,fatigue,dehydration,loss of appetite,muscle aches,chills,joint pain,,
strep throat,sore throat,swollen lymph nodes,abdominal pain,body aches,loss of appetite,,,,,,,
roseola,rash,irritability,fatigue,rashes,chills,,,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,stomach cramps,headache,fatigue,muscle aches,body aches,rashes,joint pain,,,
roseola,high fever,rash,irritability,swollen lymph nodes,headache,red eyes,diarrhea,vomiting,loss of appetite,body aches,rashes,feverish
roseola,high fever,runny nose,irritability,fatigue,swollen lymph nodes,headache,red eyes,abdominal pain,rashes,feverish,,
roseola,high fever,runny nose,irritability,fatigue,swollen lymph nodes,headache,vomiting,loss of appetite,body aches,chills,,
norovirus infection,diarrhea,headache,fatigue,abdominal pain,loss of appetite,chills,body aches,general discomfort,fever,irritability,,
shigellosis (bacillary dysentery),fever,bloody stools,stomach cramps,fatigue,loss of appetite,muscle aches,body aches,feverish,rashes,chills,,
pertussis (whooping cough),whooping cough,sneezing,nasal discharge,runny nose,vomiting after coughing,fatigue,,,,,,
measles,high fever,red eyes,cough,small white spots inside the cheeks,,,,,,,,
shigellosis (bacillary dysentery),diarrhea,nausea,headache,dehydration,loss of appetite,body aches,feverish,rashes,general discomfort,joint pain,,
roseola,rash,irritability,fatigue,diarrhea,vomiting,loss of appetite,abdominal pain,body aches,rashes,chills,feverish,
roseola,high fever,runny nose,rash,irritability,sore throat,red eyes,diarrhea,loss of appetite,abdominal pain,chills,feverish,
norovirus infection,diarrhea,stomach cramps,nausea,headache,abdominal pain,sweating,rashes,general discomfort,fever,,,
"hand, foot, and mouth disease",fever,rash on hands and feet,sore throat,mouth sores,blisters,fatigue,cough,general discomfort,,,,
roseola,rash,sore throat,headache,cough,red eyes,vomiting,chills,,,,,
"hand, foot, and mouth disease",rash on hands and feet,mouth sores,red spots,cough,general discomfort,difficulty swallowing,,,,,,
roseola,diarrhea,loss of appetite,body aches,chills,,,,,,,,
"hand, foot, and mouth disease",fever,rash on hands and feet,loss of appetite,sore throat,mouth sores,red spots,blisters,cough,mild fever,difficulty swallowing,,
norovirus infection,stomach cramps,low-grade fever,muscle aches,nausea,headache,loss of appetite,chills,fever,irritability,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,body aches,feverish,rashes,general discomfort,joint pain,,,,,
roseola,runny nose,irritability,swollen lymph nodes,sore throat,diarrhea,abdominal pain,body aches,rashes,,,,
roseola,high fever,fatigue,swollen lymph nodes,sore throat,headache,rashes,chills,feverish,,,,
shigellosis (bacillary dysentery),fever,diarrhea,headache,loss of appetite,,,,,,,,
roseola,high fever,runny nose,rash,fatigue,swollen lymph nodes,headache,red eyes,loss of appetite,abdominal pain,,,
roseola,fatigue,sore throat,cough,red eyes,chills,,,,,,,
roseola,high fever,fatigue,swollen lymph nodes,red eyes,vomiting,abdominal pain,chills,,,,,
"hand, foot, and mouth disease",fever,rash on hands and feet,loss of appetite,blisters,cough,sore muscles,general discomfort,mild fever,difficulty swallowing,,,
shigellosis (bacillary dysentery),nausea,bloody stools,headache,body aches,rashes,chills,joint pain,,,,,
roseola,high fever,runny nose,rash,irritability,swollen lymph nodes,sore throat,headache,cough,diarrhea,loss of appetite,,
shigellosis (bacillary dysentery),diarrhea,vomiting,bloody stools,muscle aches,body aches,rashes,chills,,,,,
norovirus infection,abdominal pain,dehydration,rashes,general discomfort,fever,,,,,,,
norovirus infection,diarrhea,stomach cramps,nausea,headache,sweating,general discomfort,fever,irritability,,,,
roseola,high fever,rash,swollen lymph nodes,sore throat,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,body aches,rashes,chills
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,stomach cramps,dehydration,loss of appetite,muscle aches,body aches,feverish,rashes,chills,joint pain,
norovirus infection,diarrhea,vomiting,stomach cramps,headache,abdominal pain,sweating,rashes,general discomfort,irritability,,,
roseola,fatigue,swollen lymph nodes,sore throat,red eyes,diarrhea,vomiting,abdominal pain,body aches,feverish,,,
roseola,high fever,runny nose,rash,swollen lymph nodes,sore throat,headache,diarrhea,vomiting,rashes,chills,feverish,
roseola,high fever,irritability,fatigue,headache,cough,red eyes,body aches,rashes,feverish,,,
roseola,high fever,runny nose,swollen lymph nodes,chills,feverish,,,,,,,
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,headache,fatigue,body aches,general discomfort,chills,,,,
roseola,high fever,runny nose,irritability,cough,red eyes,vomiting,loss of appetite,rashes,chills,feverish,,
shigellosis (bacillary dysentery),fever,nausea,bloody stools,fatigue,muscle aches,body aches,general discomfort,chills,,,,
roseola,runny nose,rash,fatigue,cough,red eyes,diarrhea,vomiting,abdominal pain,rashes,chills,feverish,
norovirus infection,low-grade fever,muscle aches,nausea,abdominal pain,sweating,general discomfort,fever,,,,,
norovirus infection,diarrhea,low-grade fever,muscle aches,headache,fatigue,dehydration,body aches,fever,irritability,,,
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,loss of appetite,irritability,mouth sores,sore muscles,headache,mild fever,,,,
norovirus infection,muscle aches,nausea,fatigue,loss of appetite,chills,body aches,rashes,fever,,,,
roseola,fatigue,swollen lymph nodes,sore throat,headache,cough,loss of appetite,rashes,chills,feverish,,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,muscle aches,nausea,abdominal pain,loss of appetite,dehydration,chills,sweating,body aches,general discomfort,fever,irritability
norovirus infection,vomiting,stomach cramps,headache,loss of appetite,dehydration,sweating,rashes,general discomfort,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,stomach cramps,fatigue,dehydration,feverish,rashes,joint pain,,,,
shigellosis (bacillary dysentery),fever,stomach cramps,fatigue,dehydration,body aches,feverish,rashes,general discomfort,chills,,,
roseola,irritability,fatigue,swollen lymph nodes,vomiting,loss of appetite,abdominal pain,rashes,,,,,
norovirus infection,vomiting,stomach cramps,nausea,fatigue,loss of appetite,chills,body aches,rashes,,,,
norovirus infection,diarrhea,low-grade fever,nausea,loss of appetite,chills,sweating,fever,irritability,,,,
pertussis (whooping cough),whooping cough,fever,"cyanosis (blue lips, tongue, nailbeds)",vomiting after coughing,,,,,,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,stomach cramps,fatigue,dehydration,feverish,rashes,joint pain,,,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,nausea,body aches,fever,irritability,,,,
roseola,runny nose,irritability,sore throat,red eyes,diarrhea,loss of appetite,body aches,feverish,,,,
roseola,irritability,headache,cough,diarrhea,vomiting,loss of appetite,abdominal pain,chills,,,,
shigellosis (bacillary dysentery),fever,diarrhea,headache,fatigue,general discomfort,chills,joint pain,,,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,bloody stools,stomach cramps,headache,dehydration,loss of appetite,muscle aches,feverish,rashes
roseola,rash,fatigue,sore throat,headache,cough,vomiting,abdominal pain,body aches,feverish,,,
roseola,irritability,sore throat,cough,diarrhea,vomiting,loss of appetite,body aches,rashes,chills,,,
norovirus infection,diarrhea,vomiting,muscle aches,dehydration,chills,sweating,body aches,general discomfort,,,,
shigellosis (bacillary dysentery),nausea,headache,loss of appetite,muscle aches,feverish,joint pain,,,,,,
roseola,high fever,irritability,fatigue,sore throat,red eyes,vomiting,abdominal pain,chills,,,,
roseola,high fever,runny nose,rash,irritability,fatigue,sore throat,headache,diarrhea,vomiting,rashes,chills,
shigellosis (bacillary dysentery),abdominal pain or cramps,bloody stools,stomach cramps,body aches,general discomfort,joint pain,,,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,nausea,fatigue,abdominal pain,dehydration,rashes,general discomfort,irritability,
norovirus infection,vomiting,low-grade fever,muscle aches,nausea,headache,abdominal pain,dehydration,chills,body aches,fever,irritability,
shigellosis (bacillary dysentery),diarrhea,nausea,headache,fatigue,body aches,feverish,joint pain,,,,,
norovirus infection,diarrhea,fatigue,abdominal pain,loss of appetite,sweating,body aches,fever,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,stomach cramps,dehydration,body aches,feverish,general discomfort,chills,,,
norovirus infection,vomiting,muscle aches,nausea,fatigue,dehydration,chills,rashes,general discomfort,irritability,,,
shigellosis (bacillary dysentery),nausea,bloody stools,dehydration,muscle aches,body aches,feverish,chills,,,,,
roseola,runny nose,rash,sore throat,red eyes,loss of appetite,body aches,rashes,chills,feverish,,,
norovirus infection,diarrhea,vomiting,stomach cramps,nausea,headache,fatigue,abdominal pain,general discomfort,irritability,,,
"hand, foot, and mouth disease",rash on hands and feet,mouth sores,cough,headache,,,,,,,,
roseola,sore throat,vomiting,abdominal pain,body aches,,,,,,,,
roseola,runny nose,rash,fatigue,sore throat,headache,cough,vomiting,abdominal pain,body aches,feverish,,
roseola,high fever,irritability,sore throat,headache,cough,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,rashes,
norovirus infection,low-grade fever,muscle aches,headache,fatigue,abdominal pain,loss of appetite,rashes,irritability,,,,
roseola,rash,fatigue,sore throat,headache,cough,red eyes,diarrhea,loss of appetite,abdominal pain,rashes,feverish,
roseola,high fever,runny nose,rash,irritability,fatigue,swollen lymph nodes,sore throat,headache,rashes,chills,feverish,
shigellosis (bacillary dysentery),headache,feverish,general discomfort,joint pain,,,,,,,,
shigellosis (bacillary dysentery),diarrhea,nausea,stomach cramps,headache,body aches,general discomfort,,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,stomach cramps,headache,fatigue,dehydration,feverish,general discomfort,chills,,
norovirus infection,diarrhea,vomiting,muscle aches,fatigue,loss of appetite,dehydration,chills,body aches,fever,irritability,,
shigellosis (bacillary dysentery),nausea,fatigue,dehydration,loss of appetite,body aches,,,,,,,
norovirus infection,diarrhea,vomiting,low-grade fever,headache,fatigue,abdominal pain,loss of appetite,body aches,rashes,general discomfort,fever,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,stomach cramps,headache,fatigue,muscle aches,body aches,rashes,general discomfort,,
scarlet fever,sore throat,red lines in body folds,pale skin around lips,nausea or vomiting,abdominal pain,,,,,,,
roseola,high fever,rash,irritability,swollen lymph nodes,sore throat,headache,cough,diarrhea,abdominal pain,body aches,,
roseola,rash,diarrhea,vomiting,loss of appetite,rashes,feverish,,,,,,
shigellosis (bacillary dysentery),diarrhea,headache,dehydration,loss of appetite,feverish,rashes,chills,joint pain,,,,
roseola,runny nose,rash,irritability,sore throat,headache,cough,vomiting,body aches,chills,,,
roseola,high fever,irritability,fatigue,swollen lymph nodes,sore throat,diarrhea,vomiting,body aches,rashes,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,vomiting,bloody stools,stomach cramps,fatigue,dehydration,loss of appetite,general discomfort,,,,
roseola,high fever,rash,irritability,sore throat,red eyes,abdominal pain,body aches,feverish,,,,
"hand, foot, and mouth disease",sores in mouth,irritability,sore throat,mouth sores,cough,headache,general discomfort,difficulty swallowing,,,,
norovirus infection,low-grade fever,muscle aches,fatigue,dehydration,chills,general discomfort,fever,,,,,
shigellosis (bacillary dysentery),diarrhea,stomach cramps,fatigue,loss of appetite,feverish,rashes,general discomfort,chills,joint pain,,,
norovirus infection,low-grade fever,muscle aches,nausea,fatigue,abdominal pain,loss of appetite,dehydration,body aches,rashes,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,vomiting,bloody stools,loss of appetite,rashes,,,,
roseola,high fever,irritability,fatigue,sore throat,headache,loss of appetite,feverish,,,,,
roseola,runny nose,cough,red eyes,abdominal pain,rashes,feverish,,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,bloody stools,stomach cramps,fatigue,dehydration,muscle aches,body aches,rashes,general discomfort,chills,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,headache,dehydration,muscle aches,rashes,chills,joint pain,,,
roseola,runny nose,irritability,sore throat,headache,cough,red eyes,vomiting,loss of appetite,chills,feverish,,
